ngl,Centre/location,Product code,Category,Sub-Category,Product title,Description,material,dimension (H*W*B),sizes/capacity,colors,Care Instruction,Features,Stock available,Sample photo,Cost B2C,Min. and Maximum ordering quantity,Cost B2B,Mininum and Maximum ordering quantity,Centre Poc name,Centre poc contact no.,Remark,,S.no.,Centre Name,Total beneficiaries at present,Beneficiary Testimonial,,,Centre testimonial
,,,,,,,,,,,,,,,,,,,,,,,,Image,Video,Paragraph,Image,Video,Paragraph
1,Fathenagar,cb01,Carry Bags,Vegetable Bag,Reusable Black coloured Cotton Carrybag,"This is a handmade, durable and easily washable bag. Pure cotton, black coloured carry bag. The dimensions of the bag are 13*16.5*3 and can hold up to 8kgs. This reusable bag can be used for carrying vegetables, books, personal stuff etc.",cotton,13*16.5*3,8kg,Black,hand wash only,"Handmade, Durable, easily washable",3,,250,1,,,Lakshmi-Meena,7993368071 - 7993918856,,,,,,,,,
2,Fathenagar,cb02,Carry Bags,Vegetable Bag,Reusable Peach coloured Cotton Carrybag,"This is a handmade, durable and easily washable bag. Pure cotton, peach coloured carry bag. The dimensions of the bag are 13*16.5*3 and can hold up to 8kgs. This reusable bag can be used for carrying vegetables, books, personal stuff etc.",cotton,13*16.5*3,8kg,Peach,hand wash only,"Handmade, Durable, easily washable",1,,250,1,,,Lakshmi-Meena,7993368071 - 7993918856,,,,,,,,,
3,Fathenagar,cb03,Carry Bags,Vegetable Bag,Reusable Blue coloured Cotton Carrybag,"This is a handmade, durable and easily washable bag. Pure cotton, blue coloured carry bag. The dimensions of the bag are 13*16.5*3 and can hold up to 8kgs. This reusable bag can be used for carrying vegetables, books, personal stuff etc.",cotton,13*16.5*3,8kg,Blue,hand wash only,"Handmade, Durable, easily washable",,,,,,,Lakshmi-Meena,7993368071 - 7993918856,,,,,,,,,
4,Fathenagar,cb04,Carry Bags,Vegetable Bag,Reusable Orange coloured Cotton Carrybag,"This is a handmade, durable and easily washable bag. Pure cotton, orange coloured carry bag. The dimensions of the bag are 13*16.5*3 and can hold up to 8kgs. This reusable bag can be used for carrying vegetables, books, personal stuff etc.",cotton,13*16.5*3,8kg,Orange,hand wash only,"Handmade, Durable, easily washable",,,,,,,Lakshmi-Meena,7993368071 - 7993918856,,,,,,,,,
5,Fathenagar,bp05,Backpack,Laptop Backpack,Light Blue and Black Handloom printed Cotton Backpack ,"This product is a handmade, durable and easily washable backpack. Light blue and black coloured, printed handloom laptop backpack. It is made of cotton (Primary material), thermocol (Middle material), non-woven fabric (Inner material) and Nylon (Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold up to 8kgs, can be used as a Laptop bag, school bag etc. The product has a zipper closure.  It features a laptop partition inside and a small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,Light Blue & Black,hand wash only,"Handmade, Durable, easily washable",1,,1050,1,,,Lakshmi-Meena,7993368071 - 7993918856,,,,,,,,,
6,Fathenagar,bp06,Backpack,Laptop Backpack,Orange and Black Handloom Printed Cotton Backpack ,"This product is a handmade, durable and easily washable Orange and Black handloom printed Cotton Backpack . It is made of cotton (Primary material), thermocol (Middle material), non-woven fabric (Inner material) and nylon (Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold upto 8 kgs, can be used as Laptop bag,School bag etc. The product has a zipper closure. It features a laptop partition inside and a small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,Orange & Black,hand wash only,"Handmade, Durable, easily washable",1,,1050,1,,,Lakshmi-Meena,7993368071 - 7993918856,,,,,,,,,
7,Fathenagar,bp07,Backpack,Laptop Backpack,Grey Printed Cotton Backpack,"This product is a handmade, durable and easily washable Grey printed cotton Backpack . It is made of cotton (Primary material), thermocol (Middle material), non-woven fabric (Inner material) and nylon (Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold upto 8 kgs, can be used as Laptop bag,School bag etc. The product has a zipper closure. It features a laptop partition inside and a small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,Grey pattern,hand wash only,"Handmade, Durable, easily washable",1,,1050,1,,,,,,,,,,,,,
8,Fathenagar,bp08,Backpack,Laptop Backpack,Black Printed Cotton Backpack,"This product is a handmade, durable and easily washable Black printed cotton Backpack . It is made of cotton (Primary material), thermocol (Middle material), non-woven fabric (Inner material) and nylon (Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold upto 8 kgs, can be used as Laptop bag,School bag etc. The product has a zipper closure. It features a laptop partition inside and a small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,black pattern,,,,,,,,,,,,,,,,,,,
9,Fathenagar,bp09,Backpack,Laptop Backpack,Green and White Printed Cotton Backpack,"This product is a handmade, durable and easily washable Green and White Printed Cotton Backpack . It is made of Cotton(Primary material), Thermocol(Middle material), Non-Woven fabric(Inner material) and Nylon(Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold upto 8 kgs, can be used as Laptop bag,School bag etc. The product has a zipper closure. It features a laptop partition inside and small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,Green&white,hand wash only,"Handmade, Durable, easily washable",1,,1050,1,,,,,,,,,,,,,
